Hash,Version,Path,Description
257f097c11e2983b6ea156ee7a9d6f03,2.0.2,"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AutoHotkey Window Spy.lnk",""
6e1221506d3e8ee2494bc89fe375e89b,2.0.2,"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AutoHotkey.lnk",""
e3f2ad7733f3166fe770e4dc00af6c45,2.0.2,"license.txt",""
99ec2b896ef799981db726d05baac05c,2.0.2,"UX\AutoHotkeyUX.exe","AutoHotkey 64-bit"
165b8fc572f943e3665994f87f1772b7,2.0.2,"UX\inc\bounce-v1.ahk",""
e8d9a7e78d6a2a40bfb532b4812bde59,2.0.2,"UX\inc\CommandLineToArgs.ahk",""
dac79ad5a978f0497de70a005b6a6084,2.0.2,"UX\inc\common.ahk",""
248b58535f55eb55d9baec04a384b5e6,2.0.2,"UX\inc\config.ahk",""
2ffbde65b63790c5aa12996e9ef9068c,2.0.2,"UX\inc\CreateAppShortcut.ahk",""
a3e0ea84c0e5d1cc8681ddb3740ea3e5,2.0.2,"UX\inc\EnableUIAccess.ahk",""
1a8ab9bb38fd0da51d03dc48e3a0b2ea,2.0.2,"UX\inc\GetGitHubReleaseAssetURL.ahk",""
727ae6f2ec77a5b56774df9da14636d2,2.0.2,"UX\inc\HashFile.ahk",""
c4f4b01aac51b0d52243a3c6b508273f,2.0.2,"UX\inc\identify.ahk",""
56b3cbe632d3bc9eca60cc289e9f99fb,2.0.2,"UX\inc\identify_regex.ahk",""
696750c1861231d07ff4548ad4360dc8,2.0.2,"UX\inc\launcher-common.ahk",""
4b095aae00456aa248024a184671e4d5,2.0.2,"UX\inc\README.txt",""
9e53fca8c7f6a9ee179f0fc0a7890ea3,2.0.2,"UX\inc\ShellRun.ahk",""
eeecd8af162d3f318496e0e60d6d8c57,2.0.2,"UX\inc\spy.ico",""
f4251e653dbbbdd8cf4640bd9855c207,2.0.2,"UX\inc\ui-base.ahk",""
c90bed0679b789b74e4865ae6f2709a3,2.0.2,"UX\install-ahk2exe.ahk",""
6f86c34ca7092ae85acc35f6cdd9b584,2.0.2,"UX\install-version.ahk",""
c7fe49395bde333ec9f4e16cd81fc748,2.0.2,"UX\install.ahk",""
96c2556250d7040a09e4fbf7b7880eab,2.0.2,"UX\launcher.ahk",""
35f4753a58432446b99bf89a9e930bf5,2.0.2,"UX\reload-v1.ahk",""
40daa2aff3aa10f66f7e2c30f57481ec,2.0.2,"UX\reset-assoc.ahk",""
cdc8756680c459bd511d2bd2895fe2b2,2.0.2,"UX\Templates\Minimal for v2.ahk",""
669bd791c5aafb60ee0885ef064d3622,2.0.2,"UX\ui-dash.ahk",""
180dd58400f62dc7edfa6ba435c408ae,2.0.2,"UX\ui-editor.ahk",""
b0cb2a02429abfaa728f704d622946c5,2.0.2,"UX\ui-launcherconfig.ahk",""
934681c007b629a500316517a7827300,2.0.2,"UX\ui-newscript.ahk",""
bae998e735cbd60d3d77b6d409e1f1d8,2.0.2,"UX\ui-setup.ahk",""
0fe4932669e99a498a7bc76975919000,2.0.2,"UX\ui-uninstall.ahk",""
765cc539c9eb2b35b5e2784eb8b68695,2.0.2,"UX\WindowSpy.ahk",""
d7ec8fe26d26746b74f244026dc70152,2.0.2,"v2\AutoHotkey.chm",""
756e244fdf729022c26f2de05c4a7249,2.0.2,"v2\AutoHotkey32.exe","AutoHotkey 32-bit"
99ec2b896ef799981db726d05baac05c,2.0.2,"v2\AutoHotkey64.exe","AutoHotkey 64-bit"
e5918a52b52ca3ce2e99788a26477984,2.0.2,"WindowSpy.ahk",""
